name,about,email,address,city,pcode,state,country,busph,faxph
121 Medical Centre,,medicalcentre121@hotmail.com,"121 Business Centre, 6/121 Shute Harbour Road",CANNONVALE,4802.0,QLD,Australia,4946 4622,4946 4624
A T S I C H S,,vickiet@atsichs.org.au,31-33 Victoria Street,MACKAY,4740.0,QLD,Australia,4957 9400,4953 1626
Abbott Medical Clinic,,manager@abbottmed.com.au,Shop 3/473 Mulgrave Road,EARLVILLE,4870.0,QLD,Australia,,4033 7744
Aboriginal Torres Strait Island Community Health Service,,vickiet@atsichs.org.au,31-33 Victoria Street,MACKAY,4740.0,QLD,Australia,4957 9400,4953 1626
Act For Kids,,brisbanenorth@actforkids.com.au,"Lot 1, Endeavour Drive",JAMES COOK UNIVERSITY,4811.0,QLD,Australia,4755 8777,4755 8700
Aitkenvale Family Health Centre,,manager@barrymed.com.au,295 Ross River Road,AITKENVALE,4814.0,QLD,Australia,4725 6060,4779 1782
Alcohol And Other Drugs Service - Mackay,,,"Mackay Community Health, 12-14 Nelson Street",MACKAY,4740.0,QLD,Australia,4968 3858,4968 3894
All Souls St Gabriels School,,enrolments@allsouls.qld.edu.au,30 Dr George Ellis Drive,CHARTERS TOWERS,4820.0,QLD,Australia,4787 1433,4787 3049
Alliance Rehabilitation,,reception@alliancerehab.com.au,139 Boundary Street,SOUTH TOWNSVILLE,4810.0,QLD,Australia,4772 1219,4771 6971
Ambrose Medical Centre,,sonya@ambrosemedical.com.au,19 Palmer Street,MACKAY,4740.0,QLD,Australia,4944 9500,4957 4525
Ambrose Medical Group,,,328 Bridge Road,WEST MACKAY,4740.0,QLD,Australia,4944 9500,4957 4525
Andergrove Medical Centre,,,68 Celeber Drive,ANDERGROVE,4740.0,QLD,Australia,4942 5099,4942 2569
Annandale Medical Centre,,,"Shop 3, 152 Marabou Drive",ANNANDALE,4814.0,QLD,Australia,4775 2666,4775 2688
Atsichs,,,31-33 Victoria Street,MACKAY,4740.0,QLD,Australia,4957 9400,4953 1626
Avenues Family Medical Centre,,reception@avenuesfmc.com.au,"The Avenues Shopping Plaza Shop 9b, Kern Brothers Drive",KIRWAN,4817.0,QLD,Australia,4773 4122,4773 4722
Awal Medical Centre,,admin@awalmedical.com.au,"Shop 6-7, 22 Central Street",SARINA,4737.0,QLD,Australia,4956 1718,4956 1728
Ayr Health Service,,,2 Chippendale Street,AYR,4807.0,QLD,Australia,4783 0855,4783 0898
Ayr Hospital,,,2 Chippendale Street,AYR,4807.0,QLD,Australia,4783 0760,4783 0897
Ayr Medical Group,,admin@ayrmedical.com.au,2a Chippendale Street,AYR,4807.0,QLD,Australia,4783 9100,4783 4524
Badu Primary Health Care Centre,,,181 Tamwoy Street,BADU ISLAND,4875.0,QLD,Australia,4069 4127,4069 4986
Balance Edmonton Family Practice,,,5 Walker Road,EDMONTON,4869.0,QLD,Australia,07 4055 4400,0740555633
Balgal Beach Medical Practice,,manager@balgalmedical.com.au,104-138 Mystic Avenue,BALGAL BEACH,4816.0,QLD,Australia,4770 7244,4770 7100
Bamaga Hospital,,,82 Sagaukaz Street,BAMAGA,4876.0,QLD,Australia,,
Bamford Medical Centre,,reception1@bamfordmedical.com.au,28 Bamford Lane,KIRWAN,4817.0,QLD,Australia,4773 2888,4773 3538
Barrier Reef Medical Centre,,doctors@brmc.com,356 McLeod Street,CAIRNS,4870.0,QLD,Australia,4051 6299,4031 4642
Belgian Gardens Medical Centre,,help@bgmc.com.au,14/47 Bundock Street,BELGIAN GARDENS,4810.0,QLD,Australia,4771 6666,4771 5566
Biushland Beach Medical Centre,,manager@bushlandbeachmedical.com.au,"Bushland Beach Medical Centre, 367 Mount Low Parkway",BUSHLAND BEACH,4818.0,QLD,Australia,4788 9444,4788 9774
Blue Care Bowen,,customerservice@bluecare.org.au,33 Kennedy Street,BOWEN,4805.0,QLD,Australia,07 4786 1545,07 4786 2985
Blue Care Burdekin Community Care,,customerservice@bluecare.org.au,126-128 Mackenzie Street,AYR,4807.0,QLD,Australia,1300 258 322,4783 2579
Blue Care North Queensland,,townsville.bns@bluecare.org.au,73 Wills Street,TOWNSVILLE,4810.0,QLD,Australia,4772 4699,4772 4289
Bluewater Medical Practice,,manager@bluewatermedical.com,2 Purono Parkway,Purono Park,4818.0,QLD,Australia,,47786800
Bohlevale State School,,admin@bohlevaless.eq.edu.au,Bohlevale School Road,BOHLE,4818.0,QLD,Australia,4729 3555,4729 3500
Bowen Child Safety Service Centre,,,60-62 Williams Street,BOWEN,4805.0,QLD,Australia,4793 5000,
Bowen Flexicare,,,44 William Street,BOWEN,4805.0,QLD,Australia,4786 4755,4786 4788
Bowen Hospital,,,Gregory Street,BOWEN,4805.0,QLD,Australia,4786 8222,4786 6959
Bowen Medical Centre,,,54 Powell Street,BOWEN,4805.0,QLD,Australia,4786 1711,4786 3246
Brodie Street Practice,,,22 Brodie Street,HUGHENDEN,4821.0,QLD,Australia,4741 1446,4741 1085
Bucasia Family Practice,,drvoisot@bucasiafp.com.au,44 Downie Avenue,BUCASIA,4750.0,QLD,Australia,4840 2211,4840 2055
Burdekin Centre For Rural Health,,,"""The Homestead"", 12a Chippendale Street",AYR,4807.0,QLD,Australia,4783 2711,4783 7611
Burdekin Community Mental Health Services,,,2 Chipendale Street,AYR,4807.0,QLD,Australia,4783 0890,4783 0898
Burdekin Pcyc,,,164 Macmillan,AYR,4807.0,QLD,Australia,4783 1009,
